  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally, Sta
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled,
    ,   ,   Excel,          ,   [ppm],    [ppm] ,      [ppm],    [ppm],       [ppm],    [ppm],
1961,4,22386,1961.2877,319.48,317.16,319.75,317.42,319.48,317.16, MLO
1961,5,22416,1961.3699,320.58,317.74,320.35,317.5,320.58,317.74, MLO
1961,6,22447,1961.4548,319.77,317.61,319.73,317.59,319.77,317.61, MLO
1961,7,22477,1961.537,318.56,317.89,318.32,317.68,318.56,317.89, MLO
1961,8,22508,1961.6219,316.79,318.09,316.44,317.77,316.79,318.09, MLO
1961,9,22539,1961.7068,314.99,317.91,314.91,317.85,314.99,317.91, MLO
1961,10,22569,1961.789,315.31,318.33,314.91,317.92,315.31,318.33, MLO
1961,11,22600,1961.874,316.1,318,316.12,317.99,316.1,318, MLO
1961,12,22630,1961.9562,317.01,317.78,317.3,318.06,317.01,317.78, MLO
1962,1,22661,1962.0411,317.94,317.88,318.2,318.13,317.94,317.88, MLO
1962,2,22692,1962.126,318.55,317.9,318.86,318.2,318.55,317.9, MLO
1962,3,22720,1962.2027,319.68,318.4,319.56,318.26,319.68,318.4, MLO
1962,4,22751,1962.2877,320.57,318.24,320.66,318.32,320.57,318.24, MLO
1962,5,22781,1962.3699,321.02,318.16,321.24,318.39,321.02,318.16, MLO
1962,6,22812,1962.4548,320.62,318.45,320.6,318.45,320.62,318.45, MLO
1962,7,22842,1962.537,319.61,318.94,319.15,318.51,319.61,318.94, MLO
1962,8,22873,1962.6219,317.4,318.7,317.22,318.56,317.4,318.7, MLO
1962,9,22904,1962.7068,316.24,319.18,315.65,318.6,316.24,319.18, MLO
1962,10,22934,1962.789,315.42,318.45,315.62,318.64,315.42,318.45, MLO
1962,11,22965,1962.874,316.69,318.59,316.8,318.68,316.69,318.59, MLO
1962,12,22995,1962.9562,317.7,318.47,317.96,318.72,317.7,318.47, MLO
1963,1,23026,1963.0411,318.74,318.68,318.83,318.76,318.74,318.68, MLO
1963,2,23057,1963.126,319.07,318.41,319.47,318.81,319.07,318.41, MLO
1963,3,23085,1963.2027,319.86,318.57,320.16,318.86,319.86,318.57, MLO
1963,4,23116,1963.2877,321.38,319.05,321.26,318.91,321.38,319.05, MLO
1963,5,23146,1963.3699,322.25,319.38,321.83,318.96,322.25,319.38, MLO
1963,6,23177,1963.4548,321.49,319.31,321.17,319.02,321.49,319.31, MLO
1963,7,23207,1963.537,319.74,319.07,319.71,319.06,319.74,319.07, MLO
1963,8,23238,1963.6219,317.77,319.07,317.76,319.1,317.77,319.07, MLO
1963,9,23269,1963.7068,316.21,319.16,316.19,319.15,316.21,319.16, MLO
1963,10,23299,1963.789,315.99,319.03,316.16,319.19,315.99,319.03, MLO
1963,11,23330,1963.874,317.07,318.97,317.35,319.23,317.07,318.97, MLO
1963,12,23360,1963.9562,318.35,319.13,318.52,319.28,318.35,319.13, MLO
1964,1,23391,1964.041,319.57,319.51,319.39,319.32,319.57,319.51, MLO
1964,2,23422,1964.1257,-99.99,-99.99,320.03,319.37,320.03,319.37, MLO
1964,3,23451,1964.2049,-99.99,-99.99,320.74,319.41,320.74,319.41, MLO
1964,4,23482,1964.2896,-99.99,-99.99,321.83,319.46,321.83,319.46, MLO
1964,5,23512,1964.3716,322.25,319.38,322.37,319.5,322.25,319.38, MLO
1964,6,23543,1964.4563,321.89,319.74,321.67,319.53,321.89,319.74, MLO
1964,7,23573,1964.5383,320.44,319.79,320.18,319.56,320.44,319.79, MLO
1964,8,23604,1964.623,318.69,320.03,318.22,319.59,318.69,320.03, MLO
1964,9,23635,1964.7077,316.71,319.67,316.63,319.61,316.71,319.67, MLO
1964,10,23665,1964.7896,316.87,319.92,316.59,319.62,316.87,319.92, MLO
1964,11,23696,1964.8743,317.68,319.59,317.75,319.64,317.68,319.59, MLO
1964,12,23726,1964.9563,318.71,319.49,318.9,319.66,318.71,319.49, MLO
1965,1,23757,1965.0411,319.44,319.38,319.76,319.69,319.44,319.38, MLO
1965,2,23788,1965.126,320.45,319.79,320.39,319.73,320.45,319.79, MLO
1965,3,23816,1965.2027,320.89,319.59,321.08,319.77,320.89,319.59, MLO
1965,4,23847,1965.2877,322.14,319.79,322.2,319.83,322.14,319.79, MLO
1965,5,23877,1965.3699,322.17,319.29,322.79,319.91,322.17,319.29, MLO
1965,6,23908,1965.4548,321.87,319.69,322.17,320,321.87,319.69, MLO
1965,7,23938,1965.537,321.21,320.53,320.75,320.1,321.21,320.53, MLO
1965,8,23969,1965.6219,318.87,320.18,318.86,320.21,318.87,320.18, MLO
1965,9,24000,1965.7068,317.82,320.78,317.35,320.33,317.82,320.78, MLO
1965,10,24030,1965.789,317.3,320.37,317.38,320.44,317.3,320.37, MLO
1965,11,24061,1965.874,318.87,320.79,318.65,320.55,318.87,320.79, MLO
1965,12,24091,1965.9562,319.42,320.2,319.9,320.67,319.42,320.2, MLO
1966,1,24122,1966.0411,320.62,320.57,320.86,320.79,320.62,320.57, MLO
1966,2,24153,1966.126,321.6,320.94,321.57,320.91,321.6,320.94, MLO
1966,3,24181,1966.2027,322.39,321.09,322.33,321.01,322.39,321.09, MLO
1966,4,24212,1966.2877,323.7,321.34,323.49,321.12,323.7,321.34, MLO
1966,5,24242,1966.3699,324.08,321.19,324.12,321.22,324.08,321.19, MLO
1966,6,24273,1966.4548,323.75,321.56,323.5,321.32,323.75,321.56, MLO
1966,7,24303,1966.537,322.37,321.69,322.06,321.41,322.37,321.69, MLO
1966,8,24334,1966.6219,320.36,321.68,320.13,321.48,320.36,321.68, MLO
1966,9,24365,1966.7068,318.64,321.61,318.57,321.56,318.64,321.61, MLO
1966,10,24395,1966.789,318.1,321.18,318.56,321.62,318.1,321.18, MLO
1966,11,24426,1966.874,319.78,321.71,319.78,321.69,319.78,321.71, MLO
1966,12,24456,1966.9562,321.02,321.81,320.98,321.74,321.02,321.81, MLO
1967,1,24487,1967.0411,322.33,322.27,321.87,321.8,322.33,322.27, MLO
1967,2,24518,1967.126,322.5,321.83,322.53,321.86,322.5,321.83, MLO
1967,3,24546,1967.2027,323.03,321.73,323.23,321.91,323.03,321.73, MLO
1967,4,24577,1967.2877,324.41,322.05,324.34,321.96,324.41,322.05, MLO
1967,5,24607,1967.3699,325,322.1,324.92,322.02,325,322.1, MLO
1967,6,24638,1967.4548,324.09,321.89,324.26,322.08,324.09,321.89, MLO
1967,7,24668,1967.537,322.54,321.86,322.79,322.14,322.54,321.86, MLO
1967,8,24699,1967.6219,320.92,322.24,320.85,322.21,320.92,322.24, MLO
1967,9,24730,1967.7068,319.25,322.24,319.28,322.28,319.25,322.24, MLO
1967,10,24760,1967.789,319.39,322.48,319.28,322.35,319.39,322.48, MLO
1967,11,24791,1967.874,320.73,322.66,320.51,322.42,320.73,322.66, MLO
1967,12,24821,1967.9562,321.95,322.74,321.73,322.5,321.95,322.74, MLO
1968,1,24852,1968.041,322.57,322.51,322.64,322.57,322.57,322.51, MLO
1968,2,24883,1968.1257,323.15,322.48,323.33,322.65,323.15,322.48, MLO
1968,3,24912,1968.2049,323.89,322.55,324.08,322.73,323.89,322.55, MLO
1968,4,24943,1968.2896,325.02,322.63,325.24,322.83,325.02,322.63, MLO
1968,5,24973,1968.3716,325.57,322.66,325.84,322.93,325.57,322.66, MLO
1968,6,25004,1968.4563,325.36,323.17,325.2,323.03,325.36,323.17, MLO
1968,7,25034,1968.5383,324.14,323.48,323.77,323.14,324.14,323.48, MLO
1968,8,25065,1968.623,322.11,323.46,321.87,323.26,322.11,323.46, MLO
1968,9,25096,1968.7077,320.33,323.33,320.36,323.37,320.33,323.33, MLO
1968,10,25126,1968.7896,320.25,323.34,320.41,323.49,320.25,323.34, MLO
1968,11,25157,1968.8743,321.32,323.26,321.71,323.62,321.32,323.26, MLO
1968,12,25187,1968.9563,322.89,323.68,322.98,323.75,322.89,323.68, MLO
1969,1,25218,1969.0411,324,323.94,323.96,323.89,324,323.94, MLO
1969,2,25249,1969.126,324.41,323.75,324.71,324.03,324.41,323.75, MLO
1969,3,25277,1969.2027,325.63,324.32,325.49,324.16,325.63,324.32, MLO
1969,4,25308,1969.2877,326.66,324.29,326.7,324.31,326.66,324.29, MLO
1969,5,25338,1969.3699,327.38,324.46,327.36,324.44,327.38,324.46, MLO
1969,6,25369,1969.4548,326.71,324.49,326.77,324.57,326.71,324.49, MLO
1969,7,25399,1969.537,325.88,325.19,325.35,324.69,325.88,325.19, MLO
1969,8,25430,1969.6219,323.66,324.99,323.44,324.81,323.66,324.99, MLO
1969,9,25461,1969.7068,322.38,325.38,321.89,324.91,322.38,325.38, MLO
1969,10,25491,1969.789,321.78,324.88,321.9,325,321.78,324.88, MLO
1969,11,25522,1969.874,322.85,324.8,323.16,325.08,322.85,324.8, MLO
1969,12,25552,1969.9562,324.11,324.91,324.38,325.16,324.11,324.91, MLO
1970,1,25583,1970.0411,325.06,325,325.31,325.24,325.06,325, MLO
1970,2,25614,1970.126,325.99,325.32,326,325.33,325.99,325.32, MLO
1970,3,25642,1970.2027,326.93,325.61,326.73,325.4,326.93,325.61, MLO
1970,4,25673,1970.2877,328.13,325.75,327.88,325.48,328.13,325.75, MLO
1970,5,25703,1970.3699,328.08,325.15,328.48,325.55,328.08,325.15, MLO
1970,6,25734,1970.4548,327.67,325.44,327.84,325.63,327.67,325.44, MLO
1970,7,25764,1970.537,326.34,325.65,326.37,325.7,326.34,325.65, MLO
1970,8,25795,1970.6219,324.68,326.02,324.4,325.77,324.68,326.02, MLO
1970,9,25826,1970.7068,323.1,326.11,322.81,325.84,323.1,326.11, MLO
1970,10,25856,1970.789,323.07,326.18,322.79,325.89,323.07,326.18, MLO
1970,11,25887,1970.874,324.01,325.96,324,325.93,324.01,325.96, MLO
1970,12,25917,1970.9562,325.13,325.93,325.19,325.97,325.13,325.93, MLO
1971,1,25948,1971.0411,326.17,326.11,326.08,326.01,326.17,326.11, MLO
1971,2,25979,1971.126,326.69,326.01,326.73,326.05,326.69,326.01, MLO
1971,3,26007,1971.2027,327.18,325.85,327.43,326.09,327.18,325.85, MLO
1971,4,26038,1971.2877,327.78,325.39,328.55,326.14,327.78,325.39, MLO
1971,5,26068,1971.3699,328.93,325.99,329.14,326.2,328.93,325.99, MLO
1971,6,26099,1971.4548,328.57,326.34,328.48,326.26,328.57,326.34, MLO
1971,7,26129,1971.537,327.36,326.67,327,326.33,327.36,326.67, MLO
1971,8,26160,1971.6219,325.43,326.77,325.03,326.41,325.43,326.77, MLO
1971,9,26191,1971.7068,323.36,326.38,323.44,326.48,323.36,326.38, MLO
1971,10,26221,1971.789,323.56,326.69,323.44,326.55,323.56,326.69, MLO
1971,11,26252,1971.874,324.8,326.75,324.69,326.62,324.8,326.75, MLO
1971,12,26282,1971.9562,326.01,326.81,325.92,326.7,326.01,326.81, MLO
1972,1,26313,1972.041,326.77,326.71,326.86,326.79,326.77,326.71, MLO
1972,2,26344,1972.1257,327.63,326.96,327.56,326.88,327.63,326.96, MLO
1972,3,26373,1972.2049,327.75,326.4,328.35,326.98,327.75,326.4, MLO
1972,4,26404,1972.2896,329.72,327.3,329.54,327.1,329.72,327.3, MLO
1972,5,26434,1972.3716,330.07,327.12,330.18,327.23,330.07,327.12, MLO
1972,6,26465,1972.4563,329.09,326.87,329.58,327.38,329.09,326.87, MLO
1972,7,26495,1972.5383,328.04,327.37,328.18,327.54,328.04,327.37, MLO
1972,8,26526,1972.623,326.32,327.69,326.32,327.72,326.32,327.69, MLO
1972,9,26557,1972.7077,324.84,327.88,324.86,327.92,324.84,327.88, MLO
1972,10,26587,1972.7896,325.2,328.33,324.99,328.11,325.2,328.33, MLO
1972,11,26618,1972.8743,326.5,328.46,326.38,328.31,326.5,328.46, MLO
1972,12,26648,1972.9563,327.55,328.35,327.73,328.51,327.55,328.35, MLO
1973,1,26679,1973.0411,328.55,328.49,328.79,328.72,328.55,328.49, MLO
1973,2,26710,1973.126,329.56,328.89,329.61,328.93,329.56,328.89, MLO
1973,3,26738,1973.2027,330.3,328.97,330.46,329.11,330.3,328.97, MLO
1973,4,26769,1973.2877,331.5,329.1,331.73,329.31,331.5,329.1, MLO
1973,5,26799,1973.3699,332.48,329.52,332.44,329.48,332.48,329.52, MLO
1973,6,26830,1973.4548,332.07,329.83,331.87,329.64,332.07,329.83, MLO
1973,7,26860,1973.537,330.87,330.17,330.44,329.77,330.87,330.17, MLO
1973,8,26891,1973.6219,329.31,330.66,328.5,329.88,329.31,330.66, MLO
1973,9,26922,1973.7068,327.52,330.56,326.91,329.96,327.52,330.56, MLO
1973,10,26952,1973.789,327.19,330.33,326.89,330.02,327.19,330.33, MLO
1973,11,26983,1973.874,328.17,330.13,328.1,330.05,328.17,330.13, MLO
1973,12,27013,1973.9562,328.65,329.45,329.29,330.08,328.65,329.45, MLO
1974,1,27044,1974.0411,329.36,329.3,330.17,330.1,329.36,329.3, MLO
1974,2,27075,1974.126,330.71,330.04,330.81,330.13,330.71,330.04, MLO
1974,3,27103,1974.2027,331.49,330.15,331.5,330.15,331.49,330.15, MLO
1974,4,27134,1974.2877,332.65,330.24,332.62,330.19,332.65,330.24, MLO
1974,5,27164,1974.3699,333.1,330.13,333.19,330.23,333.1,330.13, MLO
1974,6,27195,1974.4548,332.26,330.01,332.51,330.27,332.26,330.01, MLO
1974,7,27225,1974.537,331.18,330.48,330.99,330.32,331.18,330.48, MLO
1974,8,27256,1974.6219,329.4,330.75,328.98,330.37,329.4,330.75, MLO
1974,9,27287,1974.7068,327.44,330.49,327.36,330.42,327.44,330.49, MLO
1974,10,27317,1974.789,327.38,330.53,327.33,330.47,327.38,330.53, MLO
1974,11,27348,1974.874,328.46,330.44,328.58,330.53,328.46,330.44, MLO
1974,12,27378,1974.9562,329.58,330.38,329.81,330.59,329.58,330.38, MLO
1975,1,27409,1975.0411,330.41,330.35,330.74,330.67,330.41,330.35, MLO
1975,2,27440,1975.126,331.41,330.73,331.44,330.75,331.41,330.73, MLO
1975,3,27468,1975.2027,332.04,330.7,332.18,330.83,332.04,330.7, MLO
1975,4,27499,1975.2877,333.32,330.89,333.36,330.92,333.32,330.89, MLO
1975,5,27529,1975.3699,333.98,331,333.99,331.02,333.98,331, MLO
1975,6,27560,1975.4548,333.62,331.36,333.36,331.12,333.62,331.36, MLO
1975,7,27590,1975.537,331.91,331.21,331.88,331.21,331.91,331.21, MLO
1975,8,27621,1975.6219,330.06,331.42,329.92,331.31,330.06,331.42, MLO
1975,9,27652,1975.7068,328.57,331.62,328.32,331.4,328.57,331.62, MLO
1975,10,27682,1975.789,328.35,331.51,328.33,331.48,328.35,331.51, MLO
1975,11,27713,1975.874,329.5,331.48,329.61,331.57,329.5,331.48, MLO
1975,12,27743,1975.9562,330.77,331.58,330.86,331.65,330.77,331.58, MLO
1976,1,27774,1976.041,331.76,331.7,331.8,331.73,331.76,331.7, MLO
1976,2,27805,1976.1257,332.58,331.9,332.5,331.81,332.58,331.9, MLO
1976,3,27834,1976.2049,333.5,332.14,333.27,331.88,333.5,332.14, MLO
1976,4,27865,1976.2896,334.59,332.14,334.43,331.96,334.59,332.14, MLO
1976,5,27895,1976.3716,334.89,331.9,335.02,332.04,334.89,331.9, MLO
1976,6,27926,1976.4563,334.34,332.1,334.35,332.12,334.34,332.1, MLO
1976,7,27956,1976.5383,333.06,332.38,332.85,332.21,333.06,332.38, MLO
1976,8,27987,1976.623,330.95,332.34,330.88,332.3,330.95,332.34, MLO
1976,9,28018,1976.7077,329.31,332.39,329.31,332.41,329.31,332.39, MLO
1976,10,28048,1976.7896,328.95,332.12,329.36,332.52,328.95,332.12, MLO
1976,11,28079,1976.8743,330.32,332.3,330.69,332.65,330.32,332.3, MLO
1976,12,28109,1976.9563,331.69,332.5,331.99,332.79,331.69,332.5, MLO
1977,1,28140,1977.0411,332.94,332.88,333.02,332.95,332.94,332.88, MLO
1977,2,28171,1977.126,333.43,332.75,333.81,333.12,333.43,332.75, MLO
1977,3,28199,1977.2027,334.71,333.36,334.65,333.28,334.71,333.36, MLO
1977,4,28230,1977.2877,336.08,333.64,335.92,333.47,336.08,333.64, MLO
1977,5,28260,1977.3699,336.76,333.76,336.64,333.65,336.76,333.76, MLO
1977,6,28291,1977.4548,336.28,334.01,336.08,333.83,336.28,334.01, MLO
1977,7,28321,1977.537,334.93,334.22,334.67,334,334.93,334.22, MLO
1977,8,28352,1977.6219,332.76,334.13,332.77,334.17,332.76,334.13, MLO
1977,9,28383,1977.7068,331.6,334.68,331.23,334.32,331.6,334.68, MLO
1977,10,28413,1977.789,331.17,334.35,331.3,334.47,331.17,334.35, MLO
1977,11,28444,1977.874,332.41,334.41,332.64,334.61,332.41,334.41, MLO
1977,12,28474,1977.9562,333.86,334.67,333.95,334.75,333.86,334.67, MLO
1978,1,28505,1978.0411,334.98,334.92,334.96,334.89,334.98,334.92, MLO
1978,2,28536,1978.126,335.4,334.71,335.72,335.02,335.4,334.71, MLO
1978,3,28564,1978.2027,336.65,335.3,336.51,335.14,336.65,335.3, MLO
1978,4,28595,1978.2877,337.76,335.32,337.73,335.27,337.76,335.32, MLO
1978,5,28625,1978.3699,338.02,335.02,338.39,335.39,338.02,335.02, MLO
1978,6,28656,1978.4548,337.91,335.63,337.76,335.5,337.91,335.63, MLO
1978,7,28686,1978.537,336.55,335.84,336.29,335.61,336.55,335.84, MLO
1978,8,28717,1978.6219,334.69,336.06,334.31,335.71,334.69,336.06, MLO
1978,9,28748,1978.7068,332.77,335.86,332.71,335.81,332.77,335.86, MLO
1978,10,28778,1978.789,332.56,335.75,332.72,335.9,332.56,335.75, MLO
1978,11,28809,1978.874,333.93,335.93,334.02,336,333.93,335.93, MLO
1978,12,28839,1978.9562,334.96,335.77,335.3,336.1,334.96,335.77, MLO
1979,1,28870,1979.0411,336.24,336.18,336.28,336.2,336.24,336.18, MLO
1979,2,28901,1979.126,336.77,336.08,337.02,336.32,336.77,336.08, MLO
1979,3,28929,1979.2027,337.97,336.62,337.8,336.43,337.97,336.62, MLO
1979,4,28960,1979.2877,338.89,336.44,339.02,336.55,338.89,336.44, MLO
1979,5,28990,1979.3699,339.48,336.47,339.69,336.68,339.48,336.47, MLO
1979,6,29021,1979.4548,339.3,337.01,339.08,336.82,339.3,337.01, MLO
1979,7,29051,1979.537,337.74,337.03,337.63,336.95,337.74,337.03, MLO
1979,8,29082,1979.6219,336.1,337.47,335.68,337.09,336.1,337.47, MLO
1979,9,29113,1979.7068,333.93,337.03,334.12,337.24,333.93,337.03, MLO
1979,10,29143,1979.789,333.87,337.07,334.19,337.38,333.87,337.07, MLO
1979,11,29174,1979.874,335.3,337.31,335.56,337.54,335.3,337.31, MLO
1979,12,29204,1979.9562,336.74,337.56,336.9,337.7,336.74,337.56, MLO
1980,1,29235,1980.041,338.03,337.97,337.94,337.86,338.03,337.97, MLO
1980,2,29266,1980.1257,338.37,337.68,338.73,338.03,338.37,337.68, MLO
1980,3,29295,1980.2049,340.09,338.7,339.59,338.19,340.09,338.7, MLO
1980,4,29326,1980.2896,340.78,338.3,340.85,338.35,340.78,338.3, MLO
1980,5,29356,1980.3716,341.48,338.46,341.52,338.5,341.48,338.46, MLO
1980,6,29387,1980.4563,341.19,338.92,340.9,338.65,341.19,338.92, MLO
1980,7,29417,1980.5383,339.57,338.89,339.44,338.78,339.57,338.89, MLO
1980,8,29448,1980.623,337.61,339.02,337.48,338.92,337.61,339.02, MLO
1980,9,29479,1980.7077,335.9,339.02,335.91,339.04,335.9,339.02, MLO
1980,10,29509,1980.7896,336.03,339.24,335.96,339.15,336.03,339.24, MLO
1980,11,29540,1980.8743,337.12,339.13,337.27,339.26,337.12,339.13, MLO
1980,12,29570,1980.9563,338.23,339.05,338.56,339.36,338.23,339.05, MLO
1981,1,29601,1981.0411,339.25,339.19,339.54,339.47,339.25,339.19, MLO
1981,2,29632,1981.126,340.5,339.81,340.27,339.57,340.5,339.81, MLO
1981,3,29660,1981.2027,341.4,340.04,341.03,339.66,341.4,340.04, MLO
1981,4,29691,1981.2877,342.52,340.06,342.23,339.75,342.52,340.06, MLO
1981,5,29721,1981.3699,342.93,339.9,342.86,339.83,342.93,339.9, MLO
1981,6,29752,1981.4548,342.27,339.97,342.2,339.92,342.27,339.97, MLO
1981,7,29782,1981.537,340.5,339.79,340.68,340,340.5,339.79, MLO
1981,8,29813,1981.6219,338.45,339.83,338.67,340.09,338.45,339.83, MLO
1981,9,29844,1981.7068,336.71,339.83,337.05,340.19,336.71,339.83, MLO
1981,10,29874,1981.789,336.88,340.1,337.08,340.29,336.88,340.1, MLO
1981,11,29905,1981.874,338.38,340.4,338.4,340.4,338.38,340.4, MLO
1981,12,29935,1981.9562,339.63,340.45,339.7,340.5,339.63,340.45, MLO
1982,1,29966,1982.0411,340.77,340.71,340.69,340.61,340.77,340.71, MLO
1982,2,29997,1982.126,341.63,340.94,341.42,340.72,341.63,340.94, MLO
1982,3,30025,1982.2027,342.72,341.35,342.19,340.81,342.72,341.35, MLO
1982,4,30056,1982.2877,343.59,341.11,343.39,340.9,343.59,341.11, MLO
1982,5,30086,1982.3699,344.16,341.12,344.02,340.98,344.16,341.12, MLO
1982,6,30117,1982.4548,343.37,341.06,343.35,341.06,343.37,341.06, MLO
1982,7,30147,1982.537,342.07,341.36,341.83,341.14,342.07,341.36, MLO
1982,8,30178,1982.6219,339.83,341.21,339.8,341.22,339.83,341.21, MLO
1982,9,30209,1982.7068,338,341.12,338.16,341.31,338,341.12, MLO
1982,10,30239,1982.789,337.88,341.11,338.18,341.4,337.88,341.11, MLO
1982,11,30270,1982.874,339.28,341.31,339.51,341.52,339.28,341.31, MLO
1982,12,30300,1982.9562,340.51,341.33,340.84,341.65,340.51,341.33, MLO
1983,1,30331,1983.0411,341.4,341.33,341.87,341.8,341.4,341.33, MLO
1983,2,30362,1983.126,342.54,341.85,342.68,341.97,342.54,341.85, MLO
1983,3,30390,1983.2027,343.12,341.74,343.52,342.14,343.12,341.74, MLO
1983,4,30421,1983.2877,344.96,342.48,344.83,342.33,344.96,342.48, MLO
1983,5,30451,1983.3699,345.78,342.73,345.57,342.52,345.78,342.73, MLO
1983,6,30482,1983.4548,345.34,343.02,345.01,342.71,345.34,343.02, MLO
1983,7,30512,1983.537,344,343.28,343.58,342.89,344,343.28, MLO
1983,8,30543,1983.6219,342.4,343.79,341.64,343.06,342.4,343.79, MLO
1983,9,30574,1983.7068,339.89,343.02,340.08,343.23,339.89,343.02, MLO
1983,10,30604,1983.789,340,343.25,340.15,343.38,340,343.25, MLO
1983,11,30635,1983.874,341.16,343.19,341.52,343.53,341.16,343.19, MLO
1983,12,30665,1983.9562,342.99,343.81,342.86,343.67,342.99,343.81, MLO
1984,1,30696,1984.041,343.82,343.76,343.89,343.82,343.82,343.76, MLO
1984,2,30727,1984.1257,344.62,343.93,344.66,343.96,344.62,343.93, MLO
1984,3,30756,1984.2049,345.38,343.98,345.5,344.08,345.38,343.98, MLO
1984,4,30787,1984.2896,347.14,344.63,346.74,344.22,347.14,344.63, MLO
1984,5,30817,1984.3716,347.52,344.46,347.39,344.34,347.52,344.46, MLO
1984,6,30848,1984.4563,346.88,344.58,346.74,344.46,346.88,344.58, MLO
1984,7,30878,1984.5383,345.47,344.77,345.23,344.57,345.47,344.77, MLO
1984,8,30909,1984.623,343.34,344.76,343.23,344.69,343.34,344.76, MLO
1984,9,30940,1984.7077,341.13,344.29,341.63,344.8,341.13,344.29, MLO
1984,10,30970,1984.7896,341.4,344.64,341.68,344.92,341.4,344.64, MLO
1984,11,31001,1984.8743,343.02,345.05,343.03,345.04,343.02,345.05, MLO
1984,12,31031,1984.9563,344.25,345.08,344.35,345.16,344.25,345.08, MLO
1985,1,31062,1985.0411,344.99,344.93,345.36,345.28,344.99,344.93, MLO
1985,2,31093,1985.126,346.01,345.31,346.12,345.41,346.01,345.31, MLO
1985,3,31121,1985.2027,347.43,346.05,346.91,345.52,347.43,346.05, MLO
1985,4,31152,1985.2877,348.34,345.85,348.14,345.63,348.34,345.85, MLO
1985,5,31182,1985.3699,348.92,345.85,348.8,345.73,348.92,345.85, MLO
